Name,Type,Latitude,Longitude
남도미식,음식점,37.4826084,126.973504
삼락,음식점,37.504558,126.9234108
용궁포차,음식점,37.4784915,126.9798523
차돌돈가,음식점,37.4870716,126.9812452
백합꼬치집,음식점,37.4899006,126.9087604
대성옥,음식점,37.4926776,126.9130405
밀알분식,음식점,37.4951429,126.9564305
담소소사골순대 노량진점,음식점,37.5123699,126.9440548
내가찜한닭,음식점,37.5129281,126.9436046
지연호프,음식점,37.5042478,126.9396192
깻잎포차,음식점,37.4797927,126.9809042
진미분식,음식점,37.5130858,126.9436103
맛있는소풍,음식점,37.4949352,126.9271145
페리카나치킨,음식점,37.5111709,126.9321622
팔팔낙지,음식점,37.5131652,126.9450311
낙지한마리수제비,음식점,37.5078918,126.9637022
온씨닭집,음식점,37.4980317,126.943974
영떡볶이,음식점,37.4878799,126.9811448
화성하우스,음식점,37.4914178,126.9771197
포차35구역,음식점,37.5130282,126.944421
그린호프,음식점,37.5126967,126.9308125
영양족발보쌈,음식점,37.5009053,126.9491382
이도령치킨호프,음식점,37.5126967,126.9308125
송이식당,음식점,37.5065332,126.9630096
영광횟집,음식점,37.5114604,126.9266303
주주총회,음식점,37.5074132,126.9629635
꿀꿀이 오형제,음식점,37.5068199,126.9594394
하루,음식점,37.5076479,126.9604583
스프링,음식점,37.4948967,126.9543701
약초마을,음식점,37.5111195,126.9548978
한강생고기,음식점,37.5092229,126.9636261
청학동,음식점,37.5127891,126.9434743
만다린,음식점,37.5030605,126.940051
낭만치맥상도점,음식점,37.5073653,126.9521286
루체(Luce),음식점,37.4807275,126.9814704
아마르,음식점,37.5049292,126.9388382
주래등,음식점,37.4854617,126.9792939
삼은민물매운탕,음식점,37.4837059,126.9740193
융선짬뽕.양꼬치,음식점,37.479091,126.9806163
훈장골,음식점,37.4783526,126.9790449
남원추어탕,음식점,37.4821559,126.9807726
김밥천국,음식점,37.5073899,126.9401459
청사포산 아나고 숯불구이,음식점,37.4771972,126.978971
처갓집순대국,음식점,37.5103506,126.9322271
대연곱창,음식점,37.5095279,126.9316923
진주식당,음식점,37.5062386,126.9619844
미각숯불갈비,음식점,37.4991699,126.9211562
노랑통닭 노량진점,음식점,37.5116281,126.9454418
대패상회,음식점,37.5001897,126.9327427
영은,음식점,37.4831032,126.9757948
수화,음식점,37.4812264,126.9807128
콘크리트,음식점,37.4869129,126.9807079
지금보고싶다,음식점,37.4864589,126.9808193
호우양꼬치,음식점,37.4871451,126.980568
김밥사랑,음식점,37.4901672,126.9083618
명도미식성,음식점,37.4900889,126.9084693
엉터리생고기,음식점,37.4991699,126.9211562
세상위의세상들,음식점,37.4860764,126.9809703
블루(Blue),음식점,37.4855743,126.9805328
치킨마루 약수터점,음식점,37.4980477,126.9433405
바우네순대,음식점,37.4911639,126.9243844
싱싱한 바다마차,음식점,37.477371,126.9801061
양지분식,음식점,37.4787693,126.979775
카페톡,음식점,37.5125257,126.9425448
노들나루밥상,음식점,37.5132688,126.9454357
밭두렁,음식점,37.4990697,126.9303498
로빈그릴하우스,음식점,37.4773288,126.9796996
BBQ치킨,음식점,37.5123446,126.9383271
블랙홀식당,음식점,37.4797927,126.9809042
유초밥,음식점,37.4783982,126.9809378
남강 장어촌,음식점,37.4873018,126.9812873
이쉐프,음식점,37.5118694,126.9440109
중국성,음식점,37.4982096,126.9515023
양자강,음식점,37.4967782,126.9165387
경진스낵,음식점,37.4884033,126.9781039
남다른 감자탕 대방점,음식점,37.4998852,126.9295612
멕시칸바베큐전문점,음식점,37.4912097,126.9248657
대원,음식점,37.4905172,126.9239177
명성식당,음식점,37.5116565,126.9398639
화우(火牛),음식점,37.4787259,126.9805976
자매식당,음식점,37.4912653,126.924088
델리,음식점,37.5123517,126.9451443
바른치킨 이수역점,음식점,37.4869079,126.980336
성민양꼬치,음식점,37.5075037,126.9636307
무한장어,음식점,37.5124452,126.9326893
남원추어탕,음식점,37.489033,126.9819558
경상도집,음식점,37.5045802,126.939809
팔이구이이수태평점,음식점,37.4868397,126.9805721
BHC치킨비어존,음식점,37.5131509,126.9444408
타누키돈부리 중앙대점,음식점,37.5073701,126.959701
주현닭한마리,음식점,37.5115675,126.9448081
교촌치킨,음식점,37.4993033,126.9271912
수목식당,음식점,37.5070171,126.9630108
참나무집,음식점,37.4826084,126.973504
요코쵸,음식점,37.4803737,126.9806758
